Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
       323,   01/21/2021 04:11:19.585 PM, 0.2320
       324,   01/21/2021 04:11:19.589 PM, 0.2271
       325,   01/21/2021 04:11:19.593 PM, 0.2271
       326,   01/21/2021 04:11:19.597 PM, 0.2271
       327,   01/21/2021 04:11:19.601 PM, 0.2271
       328,   01/21/2021 04:11:19.605 PM, 0.2271
       329,   01/21/2021 04:11:19.609 PM, 0.2271
       330,   01/21/2021 04:11:19.613 PM, 0.2271
       331,   01/21/2021 04:11:19.617 PM, 0.2271
       332,   01/21/2021 04:11:19.621 PM, 0.2320
       333,   01/21/2021 04:11:19.625 PM, 0.2271
       334,   01/21/2021 04:11:19.629 PM, 0.2320
       335,   01/21/2021 04:11:19.633 PM, 0.2271
       336,   01/21/2021 04:11:19.637 PM, 0.2271
       337,   01/21/2021 04:11:19.641 PM, 0.2271
       338,   01/21/2021 04:11:19.645 PM, 0.2271
       339,   01/21/2021 04:11:19.649 PM, 0.2320
       340,   01/21/2021 04:11:19.653 PM, 0.2271
       341,   01/21/2021 04:11:19.657 PM, 0.2271
       342,   01/21/2021 04:11:19.661 PM, 0.2271
       343,   01/21/2021 04:11:19.665 PM, 0.2271
       344,   01/21/2021 04:11:19.669 PM, 0.2271
       345,   01/21/2021 04:11:19.673 PM, 0.2271
       346,   01/21/2021 04:11:19.677 PM, 0.2271
       347,   01/21/2021 04:11:19.681 PM, 0.2271
       348,   01/21/2021 04:11:19.685 PM, 0.2271
       349,   01/21/2021 04:11:19.689 PM, 0.2271
       350,   01/21/2021 04:11:19.693 PM, 0.2271
       351,   01/21/2021 04:11:19.697 PM, 0.2271
       352,   01/21/2021 04:11:19.701 PM, 0.2271
       353,   01/21/2021 04:11:19.705 PM, 0.2271
       354,   01/21/2021 04:11:19.709 PM, 0.2271
       355,   01/21/2021 04:11:19.713 PM, 0.2271
       356,   01/21/2021 04:11:19.717 PM, 0.2271
       357,   01/21/2021 04:11:19.721 PM, 0.2320
       358,   01/21/2021 04:11:19.725 PM, 0.2271
       359,   01/21/2021 04:11:19.729 PM, 0.2271
       360,   01/21/2021 04:11:19.733 PM, 0.2271
       361,   01/21/2021 04:11:19.737 PM, 0.2271
       362,   01/21/2021 04:11:19.741 PM, 0.2271
       363,   01/21/2021 04:11:19.745 PM, 0.2271
       364,   01/21/2021 04:11:19.749 PM, 0.2271
       365,   01/21/2021 04:11:19.753 PM, 0.2271
